,SERIES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% Change 2016-2015
Namibia,VFN,,,,,,,,,,,,,,,,"4,300","4,085","6,109","10,358","12,179","11,874",,
Nepal,TFN,,,,,"5,638","7,139","8,738","8,715","7,562","13,326","21,170","16,800","27,339","35,166","32,272","46,360","61,917","71,861","113,173","123,805","66,984","104,005",55.27
Netherlands,THSR,,,,,,,,,,"81,700","96,300","95,300","108,100","112,800","122,500","124,300","155,700","172,800","192,000","209,000","279,000","248,000",-11.11
New Caledonia,TFR,17,10,33,18,35,17,73,42,8,24,124,136,177,206,166,499,649,774,401,279,278,308,10.79
New Zealand,VFR,"8,918","13,646","17,551","16,410","23,241","33,502","53,174","76,534","65,989","84,368","87,850","105,716","120,804","112,398","102,259","122,712","145,524","197,024","228,928","264,864","355,904","409,008",14.92
Nicaragua,TFN,"1,020","1,303",944,"1,183",981,"1,805",916,716,"1,418",438,522,592,392,220,641,404,303,354,481,"1,001","1,227",535,-56.40
Nigeria,VFN,"11,835","13,715","14,401","15,121","15,877","16,633","19,544","22,964","26,983","31,705","33,290","38,254","65,679","72,984","75,904","76,143","241,280","227,694","113,779","117,424","200,436",,
Niue,TFR,,,,,,,,,,,,,11,32,6,22,6,1,8,2,32,,
Northern Mariana Islands,VFN,"2,633","2,479","2,731","2,815","1,828","1,698","2,101","10,470","15,213","32,463","32,920","37,994","39,447","26,407","29,528","41,623","54,186","85,966","116,967","170,121","186,509","230,137",23.39
Norway,THSR,,,,,,,,,,,,,,,,,,"61,593","119,553","118,335","214,441","297,069",38.53
Norway,TCER,,,,,,,,,,,,,,,,,,"66,982","136,375","136,724","228,046","313,066",37.28
Oman,VFN,,,,,,,,,,,,,,,,,,,,,"13,901","18,026",29.67
Palau,TFN,,,,907,868,889,867,873,250,333,336,386,464,589,779,"1,034","2,293","4,985","9,209","39,348","87,424","64,995",-25.66
Panama,VFR,,,,,,,,,,,,,,,,,"6,661","7,714","6,905","9,325","17,293","21,089",21.95
Papua New Guinea,VFR,,,,,,,,,,,,,,,"6,492","7,435","7,063","7,736","7,866","8,970","10,255","12,937",26.15
Paraguay,TFN,,,,,,,,,,550,598,413,172,146,218,193,363,741,813,922,"1,052",820,-22.05
Peru,TFR,"3,241","3,493","3,298","2,128","2,280","3,854","2,786","4,042","4,316","4,968","5,279","7,839","7,465","8,043","9,257","9,484","11,896","12,180","12,864","16,607","19,243","25,648",33.28
Philippines,TFR,"8,606","15,757","19,093","24,252","21,220","14,724","18,937","27,803","32,039","39,581","107,456","133,585","157,601","163,689","155,019","187,446","243,137","250,883","426,352","394,951","490,841","675,663",37.65
Philippines,TCER,"6,050","11,086","12,437","18,825","16,887","10,580","14,533","23,247","26,471","32,846","100,516","126,558","148,448","154,840","146,566","180,346","238,126","245,153","417,408","380,171","481,379","661,483",37.41
Poland,VFN,"5,084","5,754","6,504","5,857","5,432","4,953","4,965","6,445","5,077","7,660","11,345","15,133","18,313","20,000","25,000","35,000","40,000","40,000","45,000","70,000","83,000","96,000",15.66
Poland,THSR,,,,,,"2,548","3,931","4,231","3,598","8,790","12,726","14,187","15,649","19,100","18,990","25,421","32,000","33,855","36,816","44,312","55,925","79,188",41.60
Poland,TCER,,,,,,"3,002","4,375","4,976","4,122","9,397","13,379","15,072","16,514","20,189","20,033","26,578","33,182","35,547","38,490","46,214","60,525","84,085",38.93
Portugal,THSR,,,,,"7,477","8,200","9,831",,,"15,861","16,818","21,872","23,117","22,665","21,647","29,089","37,258","51,602","73,036","108,975","149,142","177,711",19.16
Portugal,TCER,,,,,"7,609","8,330","9,963",,,"16,120","16,971","22,102","23,529","23,152","21,929","29,424","37,587","51,932","73,639","109,456","149,624","178,269",19.14
Puerto Rico,THSR,40,114,419,415,115,116,252,193,278,188,146,235,133,429,448,514,636,687,826,897,916,"1,431",56.22
Reunion,TFR,243,228,269,,,,,,,,,,250,,,,,,,,,,
Romania,VFR,"9,410","9,836","9,592","11,828","8,420","9,457","8,055","7,854","6,807","8,708","10,310","11,402","16,822","26,182","19,681","17,796","18,570","19,991","21,502","24,758","26,756","30,700",14.74
Romania,THSR,"3,901","5,096","5,926","5,075","4,197","3,637","3,211","4,250","3,605","4,960","5,339","4,809","6,211","7,622","6,929","5,939","9,054","11,138","13,037","18,511","20,231","25,580",26.44
Romania,TCER,"3,921","5,099","5,936","5,123","4,209","3,714","3,245","4,262","3,627","4,964","5,353","4,815","6,245","7,632","6,946","5,952","9,071","11,390","13,329","19,008","20,889","25,588",22.50
Russian Federation,VFN,"390,470","349,449","449,032","464,238","445,924","493,800","461,175","725,825","679,608","813,142","798,661","765,336","765,120","815,469","718,581","747,640","845,588","978,988","1,071,515","1,125,098","1,214,081","1,288,720",6.15
Rwanda,VFN,,,,,,,,,,,,,"2,161","2,507","2,965","4,062","4,533","3,794","5,488","4,573","5,354","5,807",8.46
Samoa,VFR,,,,,,,,,,,,752,822,720,"1,193","1,356","1,512","1,671","1,520","2,009","2,413",,
San Marino,VFN,,,,,,,,,,,"37,566","25,788","17,422","9,665","9,041","10,189","12,206","14,363","13,828","11,348","15,385","20,705",34.58
Saudi Arabia,TFN,,,,,,"9,842","9,522","11,552","15,136","21,398","22,837","30,658","22,991","55,352","18,298","20,416","16,753","19,079","32,278","19,450","48,325","64,455",33.38
Serbia,THSN,,,,,,,,,,,,,,,,,,,"5,159",,,,
Serbia,TCEN,,,,,,,,,,,,,,,,,,,"5,783",,,,
Seychelles,TFR,431,685,731,453,324,472,413,551,407,400,505,644,"1,066",843,919,"1,078","2,124","4,484","7,745","13,349","13,941","14,549",4.36
Sierra Leone,TFR,,,,,,,,,,,,,,,,826,"4,179","2,257","3,090","1,832",939,"1,626",73.16
